省份:上海 学院:生命科学学院 专业:生物科学类 信息:文理科：理科，2016年最高分：498，最低分：481，平均分：490；2015年最高分：473，最低分：462，平均分：468；2014年最高分：469，最低分：467，平均分：468
省份:上海 学院:数学学院（广州） 专业:数学类 信息:文理科：理科，2016年最高分：495，最低分：482，平均分：487；2015年最高分：470，最低分：465，平均分：468；2014年最高分：472，最低分：470，平均分：471
省份:上海 学院:心理学系 专业:心理学类 信息:文理科：理科，2016年最高分：486，最低分：482，平均分：484；2015年最高分：470，最低分：465，平均分：468；2014年最高分：未知，最低分：未知，平均分：未知
省份:上海 学院:药学院 专业:药学 信息:文理科：理科，2016年最高分：482，最低分：481，平均分：482；2015年最高分：466，最低分：464，平均分：465；2014年最高分：468，最低分：463，平均分：466
省份:上海 学院:中法核工程与技术学院 专业:核工程类（中外合作办学）（核工程与核技术专业） 信息:文理科：理科，2016年最高分：487，最低分：483，平均分：485；2015年最高分：461，最低分：461，平均分：461；2014年最高分：468，最低分：468，平均分：468
省份:上海 学院:中山医学院 专业:基础医学 信息:文理科：理科，2016年最高分：483，最低分：483，平均分：483；2015年最高分：460，最低分：460，平均分：460；2014年最高分：467，最低分：467，平均分：467
省份:上海 学院:中山医学院 专业:临床医学（八年制） 信息:文理科：理科，2016年最高分：487，最低分：483，平均分：485；2015年最高分：469，最低分：468，平均分：469；2014年最高分：489，最低分：488，平均分：489
省份:上海 学院:中山医学院 专业:临床医学 信息:文理科：理科，2016年最高分：487，最低分：483，平均分：485；2015年最高分：468，最低分：467，平均分：468；2014年最高分：484，最低分：483，平均分：484
省份:重庆 年份:2016 信息:理科（投档分）的最高分：681，最低分：657，平均分：664，重点线：525，均重差：139，录取人数：101；文科（投档分）的最高分：624，最低分：609，平均分：615，重点线：527，均重差：88，录取人数：36
省份:重庆 年份:2015 信息:理科（投档分）的最高分：678，最低分：659，平均分：668，重点线：573，均重差：95，录取人数：101；文科（投档分）的最高分：667，最低分：653，平均分：657，重点线：572，均重差：85，录取人数：35
省份:重庆 年份:2014 信息:理科（投档分）的最高分：645，最低分：611，平均分：624，重点线：514，均重差：110，录取人数：96；文科（投档分）的最高分：644，最低分：626，平均分：635，重点线：555，均重差：80，录取人数：40
省份:重庆 学院:传播与设计学院 专业:新闻传播学类 信息:文理科：文科，2016年最高分：615，最低分：614，平均分：614；2015年最高分：653，最低分：653，平均分：653；2014年最高分：634，最低分：627，平均分：631
省份:重庆 学院:法学院 专业:法学 信息:文理科：文科，2016年最高分：617，最低分：617，平均分：617；2015年最高分：655，最低分：655，平均分：655；2014年最高分：639，最低分：639，平均分：639
省份:重庆 学院:国际翻译学院 专业:外国语言文学类 信息:文理科：文科，2016年最高分：610，最低分：610，平均分：610；2015年最高分：654，最低分：654，平均分：654；2014年最高分：633，最低分：633，平均分：633
省份:重庆 学院:国际金融学院 专业:工商管理类 信息:文理科：文科，2016年最高分：619，最低分：615，平均分：617；2015年最高分：655，最低分：655，平均分：655；2014年最高分：637，最低分：637，平均分：637
省份:重庆 学院:国际金融学院 专业:经济学类 信息:文理科：文科，2016年最高分：617，最低分：617，平均分：617；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:岭南学院 专业:经济学类 信息:文理科：文科，2016年最高分：624，最低分：620，平均分：622；2015年最高分：667，最低分：665，平均分：666；2014年最高分：644，最低分：639，平均分：642
省份:重庆 学院:社会学与人类学学院 专业:人类学 信息:文理科：文科，2016年最高分：612，最低分：612，平均分：612；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:外国语学院 专业:日语 信息:文理科：文科，2016年最高分：613，最低分：613，平均分：613；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：632，最低分：628，平均分：630
省份:重庆 学院:外国语学院 专业:英语 信息:文理科：文科，2016年最高分：615，最低分：613，平均分：614；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:政治与公共事务管理学院 专业:公共管理类 信息:文理科：文科，2016年最高分：616，最低分：612，平均分：614；2015年最高分：656，最低分：656，平均分：656；2014年最高分：635，最低分：634，平均分：635
省份:重庆 学院:中国语言文学系（广州） 专业:汉语言文学 信息:文理科：文科，2016年最高分：613，最低分：613，平均分：613；2015年最高分：654，最低分：654，平均分：654；2014年最高分：636，最低分：626，平均分：631
省份:重庆 学院:资讯管理学院 专业:图书情报与档案管理类 信息:文理科：文科，2016年最高分：610，最低分：599，平均分：606；2015年最高分：655，最低分：645，平均分：650；2014年最高分：630，最低分：630，平均分：630
省份:重庆 学院:材料科学与工程学院 专业:材料类 信息:文理科：理科，2016年最高分：659，最低分：658，平均分：659；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:大气科学学院 专业:大气科学类 信息:文理科：理科，2016年最高分：658，最低分：658，平均分：658；2015年最高分：664，最低分：664，平均分：664；2014年最高分：未知，最低分：未知，平均分：未知
省份:重庆 学院:地理科学与规划学院 专业:地理科学类 信息:文理科：理科，2016年最高分：659，最低分：658，平均分：659；2015年最高分：663，最低分：660，平均分：662；2014年最高分：614，最低分：611，平均分：613
省份:重庆 学院:电子与信息工程学院 专业:微电子科学与工程 信息:文理科：理科，2016年最高分：659，最低分：653，平均分：657；2015年最高分：672，最低分：669，平均分：671；2014年最高分：613，最低分：613，平均分：613
省份:重庆 学院:工学院 专业:交通工程 信息:文理科：理科，2016年最高分：660，最低分：659，平均分：660；2015年最高分：666，最低分：666，平均分：666；2014年最高分：617，最低分：617，平均分：617
省份:重庆 学院:工学院 专业:能源与动力工程 信息:文理科：理科，2016年最高分：660，最低分：658，平均分：659；2015年最高分：660，最低分：653，平均分：657；2014年最高分：617，最低分：617，平均分：617
